Paper,Passage,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Subject,Topic,Year,Image Url
GS2,,"In a class, there are 18 very tall boys. If these constitute three-fourths of the boys and the total number of boys is two-thirds of the total number of students in the class, what is the number of girls in the class?",6,12,18,21,B,,Quantitative Ability,Percentage and Ratio,2016,
GS2,,The monthly average salary paid to all the employees of a company was Rs. 5000. The monthly average salary paid to male and female employees was Rs. 5200 and Rs. 4200 respectively. Then the percentage of males employed in the company is,75%,80%,85%,90%,B,,Quantitative Ability,Percentage and Ratio,2016,
GS2,,Two numbers X and Y are respectively 20% and 28% less than a third number Z. By what percentage is the number Y less than the number X?,12%,10%,9%,8%,B,,Quantitative Ability,Percentage and Ratio,2016,
GS2,,"The total emoluments of two persons are the same, but one gets allowances to the extent of 65% of his basic pay and the other gets allowances to the extent of 80% of his basic pay. The ratio of the basic pay of the former to the basic pay of the latter is:",16 : 13,5 : 4,7 : 5,12 : 11,D,,Quantitative Ability,Percentage and Ratio,2016,
GS2,,A person allows a 10% discount for cash payment from the marked price of a toy and still he makes a 10% gain. What is the cost price of the toy which is marked Rs. 770?,Rs. 610,Rs. 620,Rs. 630,Rs. 640,C,,Quantitative Ability,Percentage and Ratio,2016,
GS2,,"In a test, a candidate attempted only 8 questions and secured 50% marks in each of the questions. If he obtained a total of 40% in the test and All questions in the test carried equal marks, how many questions were there in the test?",8,10,15,16,B,,Quantitative Ability,Percentage and Ratio,2015,
GS2,,"In a town, 45% population read magazine A, 55% read magazine B, 40% read magazine C, read magazines A and B, 15% read magazines B and C, 25% read magazines A and C; and 10% read all the three magazines. percentage do not read any magazine?",10%,15%,20%,25%,C,,Quantitative Ability,Percentage and Ratio,2015,
GS2,,"The proportion of expenditure on various items by two families A and B are represented in the following Bar Charts:

 From these charts, we can conclude that?",Family A spent more money on food than Family B.,Family B spent more money on food than Family A.,Family A and Family B spent the same amount on food.,The expenditure on food by Family A and Family B cannot be compared.,A,,Quantitative Ability,Percentage and Ratio,2015,4.png
GS2,,"The monthly incomes Of Peter and Paul are in the ratio Of 4:3. Their expenses are in the ratio of 3:2. If each saves Rs. 6,000 at the end of the month, their monthly incomes respectively are (in Rs.)","24,000 and 18,000","28,000 and 21,000","32,000 and 24,000","34,000 and 26,000",B,,Quantitative Ability,Percentage and Ratio,2015,
GS2,,Candidates in a competitive examination consisted of men and 40% women. 70% men and 75% women cleared the qualifying test and entered the final test where 80% men and 70% women were successful. Which of the following statements is correct?,Success rate is higher for women.,Overall success rate is below 50%.,More men cleared the examination than women.,Both (a) and (b) above are correct.,C,,Quantitative Ability,Percentage and Ratio,2015,
GS2,,A gardener increased the area of his rectangular garden by increasing its length by 40% and decreasing its width by 20%. The area of the new garden,has increased by 20%.,has increased by 12%.,has increased by 8%.,is exactly the same as the old area.,B,,Quantitative Ability,Percentage and Ratio,2014,
GS2,,"If Sohan, while selling two goats at the same price, makes a profit of 10% on one goat and suffers a loss of 10% on the other.",he makes no profit and no loss.,he makes a profit of 1%.,he suffers a loss of 1%.,he suffers a loss of 2%.,C,,Quantitative Ability,Percentage and Ratio,2014,
GS2,,"Out of a total of 120 musicians in a club, 5% can play all the three instruments, guitar, violin and flute. It so happens that the number of musicians Who can play any two and only two of the above instruments is 30. The number of musicians who can play the guitar alone is 40. What is the total number of those who can play violin alone or flute alone?",45,44,38,30,B,,Quantitative Ability,Percentage and Ratio,2014,
GS2,,"As per agreement with a bank, a businessman had to refund a loan in some equal instalments without interest. After paying 18 instalments he found that 60 percent of his loan was refunded. How many instalments were there in the agreement?",22,24,30,33,C,,Quantitative Ability,Percentage and Ratio,2014,
GS2,,"Out of 120 applications for a post, 70 are male and 80 have a driver's license. What is the ratio between the minimum to maximum number of males having driver's license?",1 to 2,2 to 3,3 to 7,5 to 7,C,,Quantitative Ability,Percentage and Ratio,2013,
GS2,,"There are 100 students in a particular class. 60% students play cricket, 30% students play football and 10% students play both the games. What is the number of students who play neither cricket nor football?",25,20,18,15,B,,Quantitative Ability,Percentage and Ratio,2011,
GS2,,"In a group of persons, 70% of the persons are male and 30% of the persons are married. If two sevenths of males are married, what fraction of the females is single?",2/7,1/3,3/7,2/3,C,,Quantitative Ability,Percentage and Ratio,2011,
GS2,,"There are two containers X and Y. X contains 100 ml of milk and Y contains 100 ml of water. 20 ml of milk from X is transferred to Y. After mixing well, 20 ml of the mixture in Y is transferred back to X. If m denotes the proportion of milk in X and n denotes the proportion of water in Y, then which one of the following is correct?",m = n,m > n,m < n,Cannot be determined due to insufficient data,A,,Quantitative Ability,Mixture,2022,
GS2,,A bottle contains 20 litres of liquid A. 4 litres of liquid A is taken out of it and replaced by same quantity of liquid B. Again 4 litre of the mixture is taken out and replaced by same quantity of liquid B. What is the ratio of quantity of liquid A to that of liquid B in the final mixture?,4: 1,5: 1,16: 9,17: 8,C,,Quantitative Ability,Mixture,2020,
GS2,,"30g of sugar was mixed in 180 ml water in a vessel A, 40 g of sugar was mixed in 280 ml of water in vessel B and 20 g of sugar was mixed in 100 ml of water in vessel C. The solution in vessel B is",sweeter than that in C,sweeter than that in A,as sweet as that in C,less sweet than that in C,D,,Quantitative Ability,Mixture,2016,
GS2,,Two equal glasses of same type are respectively 1/3 and 1/4 full of milk. They are then filled up with water and the contents are mixed in a pot. What is the ratio of milk and water in the pot?,07:17,1:3,09:21,11 : 23,A,,Quantitative Ability,Mixture,2015,
GS2,,Two glasses of equal volume are respectively half and three-fourths filled with milk. They are then filled to the brim by adding water. Their contents are then poured into another vessel. What will be the ratio of milk to water in this vessel?,1:3,2:3,3:2,5:3,D,,Quantitative Ability,Mixture,2012,
GS2,,"If ABC and DEF are both 3-digit numbers such that A, B, C, D, E and F are distinct non-zero digits such that ABC + DEF = 1111, then what is the value of A+B+C+D+E+F?",28,29,30,31,D,,Quantitative Ability,Linear Equation,2023,
GS2,,D is a 3-digit number such that the ratio of the number to the sum of its digits is least. What is the difference between the digit at the hundred's place and the digit at the unit's place of D?,0,7,8,9,C,,Quantitative Ability,Linear Equation,2023,
GS2,,"A 3-digit number ABC, on multiplication with D gives 37DD where A, B, C and D are different non-zero digits. What is the value of A+B+C?",18,16,15,Cannot be determined due to insufficient data,A,,Quantitative Ability,Linear Equation,2023,
GS2,,Let x be a positive integer such that 7x + 96 is divisible by x. How many values of x are possible?,10,11,12,Infinitely many,C,,Quantitative Ability,Linear Equation,2023,
GS2,,"If p, q, r and s are distinct single digit positive numbers, then what is the greatest value of (p+q)(r+s)?",230,225,224,221,B,,Quantitative Ability,Linear Equation,2023,
GS2,,What is the sum of all digits which appear in all the integers from 10 to 100?,855,856,910,911,B,,Quantitative Ability,Linear Equation,2023,
GS2,,"AB and CD are 2-digit numbers. Multiplying AB with CD results in a 3-digit number DEF. Adding DEF to another 3-digit number GHI to results in 975. Further A, B, C, D, E, F, G, H, I are distinct digits, If E = 0, F = 8, then what is A + B + C equal to?",6,7,8,9,A,,Quantitative Ability,Linear Equation,2023,
GS2,,"A bill of Rs. 1840 is paid in the denomination of Rs. 50, Rs. 20 and Rs. 10 notes. 50 notes in all are used. Consider the following statements:\n1. 25 notes of Rs. 50 are used and the remaining are the denominations of Rs. 20 and Rs. 10\n2. 35 notes of 20 are used and the remaining are in the denominations of Rs. 50 and Rs.10\n3. 20 notes of Rs. 10 are used and the remaining are in the denominations of Rs. 50 and Rs. 20\nWhich of the above statements are not correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,,Quantitative Ability,Linear Equation,2022,
GS2,,"Five friends P, Q, X, Y and Z purchased notebooks. The relevant information is given below:\n1. Z purchased 8 notebooks more than X did.\n2. P and Q together purchased 21 notebooks.\n3. Q purchased 5 notebooks less than P did.\n4. X and Y together purchased 28 notebooks.\n5. P purchased 5 notebooks more than X did.\nIf each notebook is priced Rs. 40, then what is the total cost of all the notebooks?","Rs. 2,600","Rs. 2,400","Rs. 2,360","Rs. 2,320",A,,Quantitative Ability,Linear Equation,2022,
GS2,,"A person X wants to distribute some pens among six children A, B, C, D, E and F. Suppose A gets twice the number of pens received by B, three times that of C, four times that of D, five times that of E and six times that of F. What is the minimum number of pens X should buy so that the number of pens each one gets is an even number?",147,150,294,300,C,,Quantitative Ability,Linear Equation,2022,
GS2,,"Let A, B and C represent distinct nonzero digits. Suppose x is the sum of all possible 3-digit numbers formed by A, B and C without repetition.\nConsider the following statements:\n1. The 4-digit least value of x is 1332.\n2. The 3-digit greatest value of x is 888.\nWhich of the above statements is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,,Quantitative Ability,Linear Equation,2022,
GS2,,"Let p be a two-digit number and q be the number consisting of same digits written in reverse order. If p x q = 2430, then what is the difference between p and q?",45,27,18,9,D,,Quantitative Ability,Linear Equation,2022,
GS2,,"Jay and Vijay spent an equal amount of money to buy some pens and special pencils of the same quality from the same store. If Jay bought 3 pens and 5 pencils, and Vijay bought 2 pens and 7 pencils, then which one of the following is correct?",A pencil costs more than a pen,The price of a pencil is equal to that of a pen,The price of a pen is two times the price of a pencil,The price of a pen is three times the price of a pencil,C,,Quantitative Ability,Linear Equation,2021,
GS2,,"P scored 40 marks more than Q in an examination. If Q scored 10% less marks than P, then how much did Q score?",360,380,400,420,A,,Quantitative Ability,Linear Equation,2021,
GS2,,"A person P asks one of his three friends X as to how much money he had. X replied, 'If Y gives Rs. 40, then Y will have half of as much as Z, but if Z gives Rs. 40, then three of us will have equal amount.' What is the total amount of money that X, Y and Z have?",Rs. 420,Rs. 360,Rs. 300,Rs. 270,B,,Quantitative Ability,Linear Equation,2021,
GS2,,"In an objective type test of 90 questions, S marks are allotted for every correct answer and 2 marks are deducted for every wrong answer. After attempting all the 90 questions, a student got a total of 387 marks. What is the number of incorrect responses?",9,13,27,43,A,,Quantitative Ability,Linear Equation,2021,
GS2,,"Consider the following multiplication problem:\n(PQ) x 3 = RQQ, where P, Q and R are different digits and R≠0.\nWhat is the value of (P + R) + Q?",1,2,5,Cannot be determined due to insufficient data,B,,Quantitative Ability,Linear Equation,2021,
GS2,,"There are three points P, Q and R on a straight line such that PQ : QR = 3 : 5. If n is the number of possible values of PQ : PR, then what is n equal to?",1,2,3,4,B,,Quantitative Ability,Linear Equation,2021,
GS2,,Consider the following statements:\n1. The sum of 5 consecutive integers can be 100.\n2. The product of three consecutive natural numbers can be equal to their sum.\nWhich of the above statements is/are correct?,1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,,Quantitative Ability,Linear Equation,2021,
GS2,,The difference between a 2-digit number and the number obtained by interchanging the positions of the digits is 54. Consider the following statements:\n1. The sum of the two digits of the number can be determined only if the product of the two digits is known.\n2. The difference between the two digits of the number can be determined.\nWhich of the above statements is/are correct?,1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,,Quantitative Ability,Linear Equation,2021,
GS2,,"X said to Y, 'At the time of your birth I was twice as old as you are at present.' If the present age of X is 42 years, then consider the following statements:\n1. 8 years ago, the age of X was five times the age of Y.\n2. After 14 years, the age of X would be two times the age of Y.\nWhich of the above statements is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,,Quantitative Ability,Linear Equation,2021,
GS2,,"Let XYZ be a three-digit number, where (x + y + z) is not a multiple of 3. Then (XYZ + YZX + ZXY) is not divisible by:",3,9,37,(X+Y+Z),B,,Quantitative Ability,Linear Equation,2020,
GS2,,In the sum @+1@+5@+@@+@1=1@@ for which digit does the symbol @ stand?,2,3,4,5,B,,Quantitative Ability,Linear Equation,2020,
GS2,,One page is torn from a booklet whose pages are numbered in the usual manner starting from the first page as 1. The sum of the numbers on the remaining pages is 195. The torn page contains which of the following numbers?,"5, 6","7, 8","9, 10","11, 12",B,,Quantitative Ability,Linear Equation,2020,
GS2,,"Let A3BC and DE2F be four-digit numbers where each letter represents a different digit greater than 3. If the sum of the numbers is 15902, then what is the difference between the values of A and D?",1,2,3,4,C,,Quantitative Ability,Linear Equation,2020,
GS2,,"How many different sums can be formed with the denominations Rs. 50, Rs. 100, Rs. 200, Rs. 500 and Rs. 2,000 taking at least three denominations at a time?",16,15,14,10,A,,Quantitative Ability,Linear Equation,2020,
GS2,,"A vessel full of water weighs 40 kg. If it is one-third filled, its weight becomes 20 kg. What is the weight of the empty vessel?",10 kg,15 kg,20 kg,25 kg,A,,Quantitative Ability,Linear Equation,2020,
GS2,,"A frog tries to come out of a dried well 4.5 m deep with slippery walls. Every time the frog jumps 30 cm, slides down 15 cm. What is the number of jumps required for the frog to come out of the well?",28,29,30,31,B,,Quantitative Ability,Linear Equation,2020,
GS2,,"In 2002, Meenu's age was one-third of the age of Meera, whereas in 2010, Meenu's age was half the age of Meera. What is Meenu's year of birth?",1992,1994,1996,1998,B,,Quantitative Ability,Linear Equation,2019,
GS2,,"Rakesh and Rajesh together bought 10 balls and 10 rackets. Rakesh spent Rs. 1300 and Rajesh spent Rs. 1500. If each racket costs three times a ball does, then what is the price of a racket?",Rs. 70,Rs. 90,Rs. 210,Rs. 240,C,,Quantitative Ability,Linear Equation,2019,
GS2,,"In a conference, out of a total 100 participants, 70 are Indians. If 60 of the total participants are vegetarian, then which of the following statements is/are correct?\n1. At least 30 Indian participants are vegetarian.\n2. At least 10 Indian participants are non-vegetarian.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,,Quantitative Ability,Linear Equation,2019,
GS2,,"In an examination, A has scored 20 marks more than B. If B has scored 5% less marks than A, how much has B scored?",360,380,400,420,B,,Quantitative Ability,Linear Equation,2019,
GS2,,"Seeta and Geeta go for a swim after a gap of every 2 days and every 3 days respectively. If on 1st January both of them went for a swim together, when will they go together next?",7th January,8th January,12th January,13th January,D,,Quantitative Ability,Linear Equation,2019,
GS2,,"If x is greater than or equal to 25 and y is less than or equal to 40, then which one of the following is always correct?",x is greater than y,(y - x) is greater than 15,(y -x) is less than or equal to 15,(x + y) is greater than or equal to 65,C,,Quantitative Ability,Linear Equation,2019,
GS2,,"Ena was born 4 years after her parents' marriage. Her mother is three years younger than her father and 24 years older than Ena, who is 13 years old. At what age did Ena's father get married?",22 years,23 years,24 years,25 years,B,,Quantitative Ability,Linear Equation,2019,
GS2,,"Suppose you have sufficient amount of rupee currency in three denominations: Rs. 1, Rs. 10 and Rs. 50. In how many different ways can you pay a bill of Rs. 107?",16,17,18,19,C,,Quantitative Ability,Linear Equation,2019,
GS2,,"How many triplets (x, y, z) satisfy the equation x + y + z = 6, where x, y and z are natural numbers?",4,5,9,10,D,,Quantitative Ability,Linear Equation,2019,
GS2,,"If $ means 'divided by'; @ means 'multiplied by'; # means 'minus', then the value of 10#5@1$5 is",0,1,2,9,D,,Quantitative Ability,Linear Equation,2019,
GS2,,"A number consists of three digits of which the middle one is zero and their sum is 4. If the number formed by interchanging the first and last digits is greater than the number itself by 198, then the difference between the first and last digits is",1,2,3,4,B,,Quantitative Ability,Linear Equation,2018,
GS2,,"A bookseller sold 'a' number of Geography textbooks at the rate of Rs. x per book, 'a + 2' number of History textbooks at the rate of Rs. (x + 2) per book and 'a - 2' number of Mathematics textbooks at the rate of Rs. (x - 2) per book. What is his total sale in Rs.?",3x+3a,3ax + 8,9ax,x/3 × a/3,B,,Quantitative Ability,Linear Equation,2018,
GS2,,A lift has the capacity of 18 adults or 30 children. How many children can board the lift with 12 adults?,6,10,12,15,B,,Quantitative Ability,Linear Equation,2018,
GS2,,"1f x - y = 8, then which of the following must be true?\n1. Both x and y must be positive for any value of x and y.\n2. If x is positive, y must be negative for any value of x and y.\n3. If x is negative, y must be positive for any value of x and y.",1 only,2 only,Both 1 and 2,Neither 1 nor 2 nor 3,D,,Quantitative Ability,Linear Equation,2018,
GS2,,"If second and fourth Saturdays and, all the Sundays are taken as only holidays for an office, what would be the minimum number of possible working days of any month of any year?",23,22,21,20,B,,Quantitative Ability,Linear Equation,2017,
GS2,,"The sum of income of A and B is more than that of C and D taken together. The sum of income of A and C is the same as that of B and D taken together. Moreover, A earns half as much as the sum of the income of B and D. Whose income is the highest?",A,B,C,D,B,,Quantitative Ability,Linear Equation,2017,
GS2,,"There are three pillars X, Y and Z of different heights. Three spiders A, B and C start to climb on these pillars simultaneously. In one chance, A climbs on X by 6 cm but slips down 1 cm. B climbs on Y by 7 cm but slips down 3 cm. C climbs on Z by 6.5 cm but slips down 2 cm. If each of them requires 40 chances to reach the top of the pillars, what is the height of the shortest pillar?",161 cm,163 cm,182 cm,210 cm,B,,Quantitative Ability,Linear Equation,2017,
GS2,,"Six boys A, B, C, D, E and F play a game of cards. Each has a pack of 10 cards. F borrows 2 cards from A and gives away 5 to C who in turn gives 3 to B while B gives 6 to D who passes 1 to E. Then the number of cards possessed by D and E is equal to the number of cards possessed by","A, B and C","B, C and F","A, B and F","A, C and F",B,,Quantitative Ability,Linear Equation,2017,
GS2,,The age of Mr. X last year was the square of a number and it would be the cube of a number next year. What is the least number of years he must wait for his age to become the cube of a number again?,42,38,25,16,B,,Quantitative Ability,Linear Equation,2017,
GS2,,A 2-digit number is reversed. The larger of the two numbers is divided by the smaller one. What is the largest possible remainder?,9,27,36,45,D,,Quantitative Ability,Linear Equation,2017,
GS2,,There are certain 2-digit numbers. The difference between the number and the one obtained on reversing it is always 27. How many such maximum 2-digit numbers are there?,3,4,5,None of the above,D,,Quantitative Ability,Linear Equation,2017,
GS2,,"Four friends A, B, C and D need to cross a bridge. A maximum of two persons can cross it at a time. It is night and they just have one lamp. Persons that cross the bridge must carry the lamp to find the way. A pair must walk together at the speed of slower person. After crossing the bridge, the person having faster speed in the pair will return with the lamp each time to accompany another person in the group. Finally, the lamp has to be returned at the original place and the person who returns the lamp has to cross the bridge again without lamp. To cross the bridge, the time taken by them is as follows: A: 1 minute, B: 2 minutes, C: 7 minutes and D: 10 minutes. What is the total minimum time required by all the friends to cross the bridge?",23 minutes,22 minutes,21 minutes,20 minutes,A,,Quantitative Ability,Linear Equation,2016,
GS2,,"In aid of charity, every student in a class contributes as many rupees as the number of students in that class. With the additional contribution of Rs. 2 by one student only, the total collection is Rs. 443. Then how many students are there in the class?",12,21,43,45,B,,Quantitative Ability,Linear Equation,2016,
GS2,,"An agricultural field is in the form of a rectangle having length x1 meters and breadth x2 meters (x1 and x2 are variable). If x1 + x2 = 40 meters, then the area of the agricultural field will not exceed which one of the following values?",400 sq m,300 sq m,200 sq m,80 sq m,A,,Quantitative Ability,Linear Equation,2016,
GS2,,"The sum of the ages of 5 members comprising a family, 3 years ago was 80 years. The average age of the family today is the same as it was 3 years ago, because of an addition of a baby during the intervening period. How old is the baby?",6 months,1 year,2 years,2 years and 6 months,B,,Quantitative Ability,Linear Equation,2016,
GS2,,"In a race, a competitor has to collect 6 apples which are kept in a straight line on a track and a bucket is placed at the beginning of the track which is a starting point. The condition is that the competitor can pick only one apple at a time, run back with it and drop it in the bucket. If he has to drop all the apples in the bucket, how much total distance he has to run if the bucket is 5 meters from the first apple and all other apples are placed 3 meters apart?",40 m,50 m,75 m,150 m,D,,Quantitative Ability,Linear Equation,2016,
GS2,,A father is nine times as old as his son and the mother is eight times as old as the son. The sum of the father's and the mother's age is 51 years. What is the age of the son?,7 years,5 years,4 years,3 years,D,,Quantitative Ability,Linear Equation,2015,
GS2,,"Each Of A, B, C and D has 100. A pays 20 to B, who pays 10 to C, who gets 30 from D. In this context, which one of the following statements is not correct?",C is the richest.,D is the poorest.,C has more than what A and D have together.,B is richer than D.,C,,Quantitative Ability,Linear Equation,2015,
GS2,,"In a parking area, the total number of wheels of all the cars (four-wheelers) and scooters/motorbikes (two-wheelers) is 100 more than twice the number of parked vehicles. The number of cars parked is",35,45,50,55,C,,Quantitative Ability,Linear Equation,2015,
GS2,,"A person ordered 5 pairs of black socks and some pairs of brown socks. The price of a black pair was thrice that of a brown pair. While preparing the bill, the bill clerk interchanged the number of black and brown pairs by mistake which increased the bill by 100%. What was the number of pairs of brown socks in the original order?",10,15,20,25,D,,Quantitative Ability,Linear Equation,2015,
GS2,,"The number of persons who read magazine X only is thrice the number of persons who read magazine Y. The number of persons who read magazine Y only is thrice the number of persons who read magazine X. Then, which of the following conclusions can be drawn?\n1. The number of persons who read both the magazines is twice the number of persons who read only magazine X.\n2. The total number of persons who read either one magazine or both the magazines is twice the number of persons who read both the magazines.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,,Quantitative Ability,Linear Equation,2015,
GS2,,"If ABC x DEED = ABCABC; where A, B, C, D and E are different digits, what are the values of D and E?","D=2, E=0","D=0, E=1","D=1, E=0","D=1, E=2",C,,Quantitative Ability,Linear Equation,2015,
GS2,,"A cow costs more than 4 goats but less than 5 goats. If a goat costs between 600 and 800, which of the following is a more valid conclusion?","A cow costs more than 2,500.","A cow costs less than 3,600.","A cow costs between 2,600 and 3,800.","A cow costs between 2,400 and 4,000.",D,,Quantitative Ability,Linear Equation,2015,
GS2,,"In a box of marbles, there are three less white marbles than the red ones and five more white marbles than the green ones. If there are a total of 10 white marbles, how many marbles are there in the box?",26,28,32,36,B,,Quantitative Ability,Linear Equation,2015,
GS2,,A group of 630 children is seated in rows for a group photo session. Each row contains three less children than the row in front of it. Which one of the following number of rows is not possible?,3,4,5,6,D,,Quantitative Ability,Linear Equation,2014,
GS2,,"A straight-line segment is 36 cm long. Points are to be marked on the line from both the end points. From each end, the first point is at a distance of 1 cm from the end, the second point is at a distance of 2 cm from the first point and the third point is at a distance of 3 cm from the second point and so on. If the points on the ends are not counted and the common points are counted as one, what is the number of points?",10,12,14,16,B,,Quantitative Ability,Linear Equation,2014,
GS2,,"A and B decide to travel from place X to place Y by bus. A has Rs. 10 with him and he finds that it is 80% of the bus fare for two persons. B finds that he has Rs. 3 with him and hands it over to A. In this context, which one of the following statements is correct?",Now the money A has is just enough to buy two tickets.,A still needs Rs. 2 for buying the tickets.,After buying the two tickets A will be left with 50 paise.,The money A now has is still not sufficient to buy two tickets,C,,Quantitative Ability,Linear Equation,2014,
GS2,,"Four persons, Alok, Bhupesh, Chander and Dinesh have a total of 100 among themselves. Alok and Bhupesh between them have as much money as Chander and Dinesh between them, but Alok has more money than Bhupesh; and Chander has only half the money that Dinesh has. Alok has in fact 5 more than Dinesh has. Who has the maximum amount of money?",Alok,Bhupesh,Chander,Dinesh,A,,Quantitative Ability,Linear Equation,2014,
GS2,,"For a charity show, the total tickets sold were 420. Half of these tickets were sold at the rate of Rs.5 each, one-third at the rate of Rs.3 each and the rest for Rs.2 each. What was the total amount received?",Rs. 900,"Rs. 1,540","Rs. 1,610","Rs. 2,000",C,,Quantitative Ability,Linear Equation,2014,
GS2,,"Four friends, A, B, C and D distribute some money among themselves in such a manner that A gets one less than B, C gets 5 more than D, D gets 3 more than B. Who gets the smallest amount?",A,B,C,D,A,,Quantitative Ability,Linear Equation,2013,
GS2,,"There are some balls of red, green and yellow colour lying on a table. There are as many red balls as there are yellow balls. There are twice as many yellow balls as there are green ones. The number of red balls",is equal to the sum of yellow and green balls.,is double the number of green balls.,is equal to yellow balls minus green balls.,cannot be ascertained.,B,,Quantitative Ability,Linear Equation,2013,
GS2,,"In a rare coin collection, there is one gold coin for every three non-gold coins. 10 more gold coins are added to the collection and the ratio of gold coins to non-gold coins would be 1:2. Based on the information, the total number of coins in the collection now becomes",90,80,60,50,A,,Quantitative Ability,Linear Equation,2013,
GS2,,A gardener has 1000 plants. He wants to plant them in such a way that the number of rows and the number of columns remains the same. What is the minimum number of plants that he needs more for this purpose?,14,24,32,34,B,,Quantitative Ability,Linear Equation,2013,
GS2,,"A sum of 700 has to be used to give seven cash prizes to the students of a school for their overall academic performance. If each prize is 20 less than its preceding prize, what is the least value of the prize?",Rs 30,Rs 40,Rs 60,Rs 80,B,,Quantitative Ability,Linear Equation,2013,
GS2,,"In a garrison, there was food for 1000 soldiers for one month. After 10 days, 1000 more soldiers joined the garrison. How long would the soldiers be able to carry on with the remaining food?",25 days,20 days,15 days,10 days,D,,Quantitative Ability,Linear Equation,2013,
GS2,,"The tank-full petrol in Arun's motor-cycle lasts for 10 days. If he starts using 25% more every day, how many days will the tank-full petrol last?",5,6,7,8,D,,Quantitative Ability,Linear Equation,2013,
GS2,,"A contract on construction job specifies a penalty for delay in completion of the work beyond a certain date is as follows: Rs. 200 for the first day, Rs. 250 for the second day, Rs. 300 for the third day etc., the penalty for each succeeding day being 50 more than that of the preceding day. How much penalty should the contractor pay if he delays the work by 10 days?",Rs. 4950,Rs. 4250,Rs. 3600,Rs. 650,B,,Quantitative Ability,Linear Equation,2011,
GS2,,"A person has only Rs. 1 and Rs. 2 coins with her. If the total number of coins that she has is 50
and the amount of money with her is Rs. 75, then the number of Rs. 1 and Rs. 2 coins are,
Respectively [2011/39]",15 and 35,35 and 15,30 and 20,25 and 25,D,,Quantitative Ability,Linear Equation,2011,
GS2,,"A principal P becomes Q in 1 year when compounded half-yearly with R annual rate of interest. If the same principal P becomes Q in 1 year when compounded annually with 8% annual rate of interest, then which one of the following is correct?",R = S,R > S,R < S,R <= S,C,,Quantitative Ability,Simple Interest Compound Interest,2023,
GS2,,"A person bought a refrigerator worth Rs. 22,800 with 12.5% interest compounded yearly. At the end of first year, he paid Rs. 8,650 and at the end of second year Rs. 9,125. How much will he have to pay at the end of third year to clear the debt?","Rs. 9,990","Rs. 10,000","Rs. 10,590","Rs. 11,250",D,,Quantitative Ability,Simple Interest Compound Interest,2018,
GS2,,"There are three traffic signals. Each signal changes colour from green to red and then from red to green. The first signal takes 25 seconds, the second signal takes 39 seconds and the third signal takes 60 seconds to change the colour from green to red. The durations for green and red colours are same. At 2:00 p.m., they together turn green. At what time will they change to green next, simultaneously?",4:00 p.m.,4:10 p.m.,4:20 p.m.,4:30 p.m.,B,,Quantitative Ability,LCM HCF,2023,
GS2,,"40 children are standing in a circle and one of them (say child-I) has a ring. The ring is passed clockwise. Child-I passes on to child-2, child-2 passes on to child-4, child-4 passes on to child-7 and so on. After how many such changes (including child-I) will the ring be in the hands of child-I again?",14,15,16,17,B,,Quantitative Ability,LCM HCF,2023,
GS2,,"X and Y run a 3 km race along a circular course of length 300 m. Their speeds are in the ratio 3:2. If they start together in the same direction, how many times would the first one pass the other (the start-off is not counted as passing)?",2,3,4,5,B,,Quantitative Ability,LCM HCF,2022,
GS2,,"Joseph visits the club on every 5th day, Harsh visits on every 24th day, while Sumit visits on every 9th day. If all three of them met at the club on a Sunday, then on which day will all three of them meet again?",Monday,Wednesday,Thursday,Sunday,B,,Quantitative Ability,LCM HCF,2021,
GS2,,"If you have two straight sticks of length 7.5 feet and 3.25 feet, what is the minimum length can you measure?",0.05 foot,0.25 foot,1 foot,3.25 feet,B,,Quantitative Ability,LCM HCF,2020,
GS2,,"Two persons, A and B are running on a circular track. At the start, B is ahead of A and their positions make an angle of 30 degrees at the centre of the circle. When A reaches the point diametrically opposite to his starting point, he meets B. What is the ratio of speeds of A and B, if they are running with uniform speeds?",6: 5,4: 3,6: 1,4: 2,A,,Quantitative Ability,LCM HCF,2018,
GS2,,A and B walk around a circular park. They start at 8 a.m. from the same point in the opposite directions. A and B walk at a speed of 2 rounds per hour and 3 rounds per hour respectively. How many times shall they cross each other after 8 00 a.m. and before 9.30 a.m.?,7,6,5,8,A,,Quantitative Ability,LCM HCF,2016,
GS2,,"Five persons fire bullets at a target at an interval of 6, 7, 8, 9 and 12 seconds respectively. The number of times they would fire the bullets together at the target in an hour is",6,7,8,9,B,,Quantitative Ability,LCM HCF,2014,
GS2,,"A bell rings every 18 minutes. A second bell rings every 24 minutes. A third bell rings every 32 minutes. If all the three bells ring at the same time at 8 o’clock in the morning, at what other time will they all ring together?",12 : 40 hrs,12 : 48 hrs,12 : 56 hrs,13 : 04 hrs,B,,Quantitative Ability,LCM HCF,2014,
